city_id,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date_time
0,isafjordur,66.0755,-23.124,24.93,81,50,8.77,IS,2026-03-04 15:12:40
1,ilulissat,69.2167,-51.1,6.31,91,71,8.21,GL,2026-03-04 15:12:40
2,korla,41.7597,86.1469,40.32,39,90,4.59,CN,2026-03-04 15:12:40
3,olonkinbyen,70.9221,-8.7187,29.88,88,100,18.34,SJ,2026-03-04 15:12:40
4,talnakh,69.4865,88.3972,-26.88,94,99,5.35,RU,2026-03-04 15:12:40
5,uturoa,-16.7333,-151.4333,81.45,68,74,14.74,PF,2026-03-04 15:12:40
6,hirara,24.8,125.2833,69.15,66,100,22.68,JP,2026-03-04 15:12:40
7,dudinka,69.4058,86.1778,-26.09,100,98,4.99,RU,2026-03-04 15:12:41
8,geraldton,-28.7667,114.6,76.91,33,0,8.86,AU,2026-03-04 15:12:41
9,vorgashor,67.5833,63.95,-39.23,99,43,6.29,RU,2026-03-04 15:12:41
10,ushuaia,-54.8,-68.3,41.97,98,100,5.73,AR,2026-03-04 15:12:41
11,albany,42.6001,-73.9662,37.36,97,36,1.25,US,2026-03-04 15:12:41
12,edinburgh of the seven seas,-37.0676,-12.3116,66.52,95,100,17.78,SH,2026-03-04 15:12:41
13,hawaiian paradise park,19.5933,-154.9731,75.49,74,67,11.95,US,2026-03-04 15:12:41
14,chonchi,-42.6128,-73.8092,54.84,59,79,2.86,CL,2026-03-04 15:12:41
15,blackmans bay,-43.0167,147.3167,63.48,77,23,6.67,AU,2026-03-04 15:12:41
16,puerto natales,-51.7236,-72.4875,45.0,88,100,11.41,CL,2026-03-04 15:12:41
17,papatowai,-46.5619,169.4708,65.95,39,60,3.85,NZ,2026-03-04 15:12:42
18,richards bay,-28.783,32.0377,76.05,89,7,10.16,ZA,2026-03-04 15:12:42
19,adamstown,-25.066,-130.1015,77.47,75,100,7.05,PN,2026-03-04 15:12:42
20,iqaluit,63.7506,-68.5145,-2.27,95,100,15.82,CA,2026-03-04 15:12:42
21,whitehorse,60.7161,-135.0538,7.86,91,100,7.18,CA,2026-03-04 15:12:42
22,prairie grove,35.9759,-94.3177,60.58,92,100,11.54,US,2026-03-04 15:12:42
23,st. john's,47.5649,-52.7093,32.81,93,96,19.08,CA,2026-03-04 15:12:42
24,chernyshevskiy,63.0128,112.4714,-9.94,98,100,8.88,RU,2026-03-04 15:12:42
25,kingston,17.997,-76.7936,78.87,58,49,4.56,JM,2026-03-04 15:08:02
26,longyearbyen,78.2186,15.6401,11.3,93,47,7.11,SJ,2026-03-04 15:12:42
27,santa cruz,-17.8,-63.1667,85.95,68,89,5.26,BO,2026-03-04 15:10:51
28,kuta,-8.7233,115.1723,76.75,98,90,7.36,ID,2026-03-04 15:12:43
29,aasiaat,68.7098,-52.8699,8.49,82,100,7.07,GL,2026-03-04 15:12:43
30,hamilton,39.1834,-84.5333,58.15,96,100,1.07,US,2026-03-04 15:12:43
31,udachny,66.4167,112.4,-26.55,100,100,3.65,RU,2026-03-04 15:12:43
32,college,64.8569,-147.8028,-5.15,82,6,0.16,US,2026-03-04 15:12:43
33,constantia,44.1833,28.65,40.51,87,12,9.4,RO,2026-03-04 15:12:43
34,araguari,-18.6472,-48.1872,80.58,53,58,4.36,BR,2026-03-04 15:12:43
35,ust-nera,64.5667,143.2,-20.47,90,97,4.32,RU,2026-03-04 15:12:44
36,port-aux-francais,-49.35,70.2167,39.07,88,94,35.95,TF,2026-03-04 15:12:44
37,sinjai,-5.1241,120.253,76.12,81,100,3.83,ID,2026-03-04 15:12:44
38,yellowknife,62.456,-114.3525,-11.07,91,100,11.88,CA,2026-03-04 15:12:17
39,tazacorte,28.629,-17.9293,64.18,75,67,13.47,ES,2026-03-04 15:12:44
40,touros,-5.1989,-35.4608,80.22,75,50,9.98,BR,2026-03-04 15:12:44
41,yerofey pavlovich,53.9667,121.9667,-17.88,98,19,3.83,RU,2026-03-04 15:12:44
42,sao jose da coroa grande,-8.8978,-35.1478,80.51,69,93,8.32,BR,2026-03-04 15:12:44
43,fryanovo,56.1333,38.45,31.55,92,100,9.44,RU,2026-03-04 15:12:44
44,puerto ayora,-0.7393,-90.3518,81.18,76,75,6.98,EC,2026-03-04 15:12:45
45,hasaki,35.7333,140.8333,44.55,50,0,11.86,JP,2026-03-04 15:12:45
46,iskateley,67.6803,53.1512,-17.64,92,100,5.61,RU,2026-03-04 15:12:45
47,bethel,41.3712,-73.414,39.27,90,87,3.13,US,2026-03-04 15:12:45
48,port mathurin,-19.6833,63.4167,79.48,82,18,13.38,MU,2026-03-04 15:12:45
49,qulsary,46.9531,54.0198,36.45,75,100,11.83,KZ,2026-03-04 15:12:45
50,fort bragg,35.139,-79.006,74.84,55,65,8.59,US,2026-03-04 15:12:45
51,bilibino,68.0546,166.4372,-12.8,97,100,4.21,RU,2026-03-04 15:12:45
52,karratha,-20.7377,116.8463,83.52,64,100,8.19,AU,2026-03-04 15:12:46
53,grytviken,-54.2811,-36.5092,43.54,94,100,5.68,GS,2026-03-04 15:12:46
54,saudarkrokur,65.7461,-19.6394,27.34,86,86,10.83,IS,2026-03-04 15:12:46
55,freetown,8.484,-13.2299,77.77,71,21,6.93,SL,2026-03-04 15:12:46
56,tazovsky,67.4667,78.7,-10.05,98,100,6.29,RU,2026-03-04 15:12:46
57,astrakhan,46.3497,48.0408,34.21,71,57,6.55,RU,2026-03-04 15:12:46
58,coracora,-15.0333,-73.7833,56.75,67,64,8.19,PE,2026-03-04 15:12:46
59,tiksi,71.6872,128.8694,-28.08,100,65,3.74,RU,2026-03-04 15:12:46
60,port elizabeth,-33.918,25.5701,70.16,92,55,3.11,ZA,2026-03-04 15:12:46
61,gadzhiyevo,69.2551,33.3362,17.08,90,100,5.66,RU,2026-03-04 15:12:46
62,conduaga,8.862,117.4893,76.95,88,100,6.06,PH,2026-03-04 15:12:47
63,talamba,30.5271,72.2401,71.85,25,1,4.12,PK,2026-03-04 15:12:47
64,west island,-12.1568,96.8225,80.42,68,2,7.11,CC,2026-03-04 15:12:47
65,invercargill,-46.4,168.35,60.98,49,97,5.03,NZ,2026-03-04 15:12:47
66,kuching,1.55,110.3333,74.64,95,94,2.06,MY,2026-03-04 15:12:47
67,hammerfest,70.6634,23.6821,34.27,89,100,9.64,NO,2026-03-04 15:12:47
68,alofi,-19.0595,-169.9187,82.26,68,69,15.43,NU,2026-03-04 15:12:47
69,yeppoon,-23.1333,150.7333,78.42,67,82,17.72,AU,2026-03-04 15:12:48
70,stanley,54.868,-1.6985,43.84,87,15,11.32,GB,2026-03-04 15:12:48
71,mashtul as suq,30.3606,31.3776,51.46,82,100,5.61,EG,2026-03-04 15:12:48
72,purranque,-40.9167,-73.1667,58.03,46,15,6.49,CL,2026-03-04 15:12:48
73,brisas de zicatela,15.8369,-97.0419,85.3,57,0,5.48,MX,2026-03-04 15:12:48
74,san patricio,28.017,-97.5169,83.34,68,16,20.87,US,2026-03-04 15:12:48
75,sao joao da barra,-21.6403,-41.0511,75.92,75,0,6.96,BR,2026-03-04 15:12:48
76,waitangi,-43.9535,-176.5597,56.84,68,48,6.73,NZ,2026-03-04 15:12:49
77,bayanhongor,46.7167,100.1167,-19.08,80,1,3.56,MN,2026-03-04 15:12:49
78,novodvinsk,64.4165,40.8122,15.46,93,100,9.71,RU,2026-03-04 15:12:49
79,bredasdorp,-34.5322,20.0403,64.63,78,22,1.86,ZA,2026-03-04 15:12:49
80,saipan,15.1355,145.701,80.76,77,62,12.06,MP,2026-03-04 15:12:49
81,praya,14.9215,-23.5087,68.31,68,22,20.96,CV,2026-03-04 15:12:49
82,as sulayyil,20.4607,45.5779,60.93,53,51,11.59,SA,2026-03-04 15:12:49
83,island harbour,50.724,-1.2758,45.7,94,0,8.03,GB,2026-03-04 15:12:49
84,brookings,44.3114,-96.7984,52.18,79,0,10.49,US,2026-03-04 15:11:23
85,klyuchi,52.2667,79.1667,16.74,89,74,9.46,RU,2026-03-04 15:12:49
86,seybaplaya,19.65,-90.6667,79.93,70,10,14.97,MX,2026-03-04 15:12:50
87,sebastopol,44.6,33.5333,40.96,59,20,3.36,UA,2026-03-04 15:12:50
88,vadso,70.0744,29.7487,21.9,90,95,7.34,NO,2026-03-04 15:12:50
89,alice springs,-23.7,133.8833,68.2,85,0,10.45,AU,2026-03-04 15:12:50
90,fada,7.25,4.0667,78.93,81,75,4.56,NG,2026-03-04 15:12:50
91,nichinan,31.6,131.3667,48.51,83,100,6.98,JP,2026-03-04 15:12:50
92,lupane,-18.9315,27.807,67.57,97,100,5.28,ZW,2026-03-04 15:12:50
93,hermanus,-34.4187,19.2345,65.32,87,44,3.53,ZA,2026-03-04 15:12:50
94,new norfolk,-42.7826,147.0587,63.41,67,56,5.48,AU,2026-03-04 15:12:50
95,nikolayevsk-on-amure,53.1406,140.73,18.3,99,100,1.83,RU,2026-03-04 15:12:50
96,fonte boa,-2.4959,-66.2662,84.61,60,100,1.81,BR,2026-03-04 15:12:51
97,tsengel,49.4783,100.8894,4.69,76,0,3.87,MN,2026-03-04 15:12:51
98,broken hill,-31.95,141.4333,68.68,43,0,11.21,AU,2026-03-04 15:12:51
99,christchurch,-43.5333,172.6333,62.82,71,27,6.87,NZ,2026-03-04 15:12:51
100,kalmunai,7.4167,81.8167,75.6,81,36,0.6,LK,2026-03-04 15:12:51
101,castillos,-34.1667,-53.8333,69.42,85,100,6.73,UY,2026-03-04 15:12:51
102,wailua homesteads,22.0669,-159.378,73.18,80,72,15.01,US,2026-03-04 15:12:51
103,arkhangel'sk,64.5401,40.5433,15.67,92,100,10.09,RU,2026-03-04 15:12:51
104,mount gambier,-37.8333,140.7667,59.7,87,25,5.97,AU,2026-03-04 15:12:51
105,statesville,35.7826,-80.8873,74.19,53,91,5.79,US,2026-03-04 15:12:51
106,selogiri,-7.7833,110.8667,77.2,95,100,7.14,ID,2026-03-04 15:12:52
